"","category_name","date","sale_liters"
"249","TEQUILA","2015-03-02T00:00:00.000","12"
"250","TEQUILA","2015-03-02T00:00:00.000","1.5"
"251","TEQUILA","2015-03-02T00:00:00.000","1.5"
"252","TEQUILA","2015-03-02T00:00:00.000","5.25"
"253","TEQUILA","2015-03-02T00:00:00.000","0.75"
"254","TEQUILA","2015-03-02T00:00:00.000","1"
"255","TEQUILA","2015-03-02T00:00:00.000","0.375"
"256","TEQUILA","2015-03-02T00:00:00.000","1.75"
"257","TEQUILA","2015-03-02T00:00:00.000","0.75"
"258","TEQUILA","2015-03-02T00:00:00.000","0.75"
"259","TEQUILA","2015-03-02T00:00:00.000","0.75"
"260","TEQUILA","2015-03-02T00:00:00.000","2.25"
"261","TEQUILA","2015-03-02T00:00:00.000","1"
"262","TEQUILA","2015-03-02T00:00:00.000","9"
"263","TEQUILA","2015-03-02T00:00:00.000","2"
"264","TEQUILA","2015-03-02T00:00:00.000","5.25"
"265","TEQUILA","2015-03-02T00:00:00.000","9"
"266","TEQUILA","2015-03-02T00:00:00.000","0.3"
"267","TEQUILA","2015-03-02T00:00:00.000","1.125"
"268","TEQUILA","2015-03-02T00:00:00.000","180"
"269","TEQUILA","2015-03-02T00:00:00.000","12"
"270","TEQUILA","2015-03-02T00:00:00.000","9"
"271","TEQUILA","2015-03-02T00:00:00.000","4.5"
"272","TEQUILA","2015-03-02T00:00:00.000","9"
"273","TEQUILA","2015-03-02T00:00:00.000","0.5"
"274","TEQUILA","2015-03-02T00:00:00.000","0.375"
"275","TEQUILA","2015-03-02T00:00:00.000","1.5"
"276","TEQUILA","2015-03-02T00:00:00.000","1.5"
"277","TEQUILA","2015-03-02T00:00:00.000","2.25"
"278","TEQUILA","2015-03-02T00:00:00.000","0.75"
"279","TEQUILA","2015-03-02T00:00:00.000","2.25"
"280","TEQUILA","2015-03-02T00:00:00.000","1.5"
"281","TEQUILA","2015-03-02T00:00:00.000","9"
"282","TEQUILA","2015-03-02T00:00:00.000","1.5"
"283","TEQUILA","2015-03-02T00:00:00.000","0.5"
"284","TEQUILA","2015-03-02T00:00:00.000","12"
"285","TEQUILA","2015-03-02T00:00:00.000","1.5"
"286","TEQUILA","2015-03-02T00:00:00.000","1.5"
"287","TEQUILA","2015-03-02T00:00:00.000","18"
"288","TEQUILA","2015-03-02T00:00:00.000","1.5"
"289","TEQUILA","2015-03-02T00:00:00.000","4.5"
"290","TEQUILA","2015-03-02T00:00:00.000","9"
"291","TEQUILA","2015-03-02T00:00:00.000","2.25"
"292","TEQUILA","2015-03-02T00:00:00.000","2.25"
"293","TEQUILA","2015-03-02T00:00:00.000","1.5"
"294","TEQUILA","2015-03-02T00:00:00.000","1.5"
"295","TEQUILA","2015-03-02T00:00:00.000","3"
"296","TEQUILA","2015-03-02T00:00:00.000","1.5"
"297","TEQUILA","2015-03-02T00:00:00.000","1.2"
"298","TEQUILA","2015-03-02T00:00:00.000","12"
"299","TEQUILA","2015-03-02T00:00:00.000","1.5"
"300","TEQUILA","2015-03-02T00:00:00.000","3"
"301","TEQUILA","2015-03-02T00:00:00.000","1.5"
"302","TEQUILA","2015-03-02T00:00:00.000","12"
